1.258713277472299524e+03 1.368922619047574699e+03 4.267313382143811396e+00 7.394688518354056441e+02
1.233401777472347021e+03 1.369422619047574699e+03 3.966349082143779015e+00 7.414724974912218158e+02
1.207963277472299524e+03 1.369922619047574699e+03 3.684397082143789248e+00 7.435562913448093241e+02
1.174213277472299524e+03 1.369922619047574699e+03 4.059610782143806773e+00 7.461374387055260513e+02
1.140401777472347021e+03 1.369422619047574699e+03 4.378763582143790245e+00 7.488223058339524414e+02
1.081213277472299524e+03 1.369922619047574699e+03 6.145029482143797850e+00 7.535006873103213820e+02
1.055776777472347021e+03 1.369922619047574699e+03 6.774149282143810069e+00 7.556376816035484580e+02
1.021963277472299524e+03 1.370922619047574699e+03 6.770456682143787930e+00 7.589617236416004289e+02
9.882132774722995237e+02 1.370422619047574699e+03 7.173746482143826597e+00 7.621153789520623150e+02
9.629017774723470211e+02 1.370922619047574699e+03 7.559030882143815688e+00 7.645906258639653288e+02
9.289632774722995237e+02 1.370922619047574699e+03 8.157144882143825271e+00 7.679068903414581655e+02
9.037132774722995237e+02 1.370922619047574699e+03 9.424448382143793879e+00 7.700998840974008317e+02
8.782767774723470211e+02 1.370922619047574699e+03 9.468820982143824949e+00 7.728561860705756317e+02
8.529632774722995237e+02 1.371422619047574699e+03 8.576212282143785615e+00 7.760950980820944096e+02
8.190882774722995237e+02 1.371422619047574699e+03 7.293894182143787930e+00 7.805207507056506984e+02
7.767767774723470211e+02 1.371922619047574699e+03 5.971598082143827924e+00 7.861405649635562440e+02
7.514632774722995237e+02 1.371422619047574699e+03 5.049967182143802802e+00 7.895791313989108176e+02
7.260882774722995237e+02 1.371422619047574699e+03 4.484842682143778347e+00 7.929631141075770984e+02
7.007767774723470211e+02 1.371922619047574699e+03 3.627207182143820319e+00 7.965818944264833590e+02
6.754017774723470211e+02 1.371922619047574699e+03 3.360269882143825271e+00 7.999248880427962831e+02
6.332132774722995237e+02 1.372922619047574699e+03 2.784403282143784963e+00 8.057313754524629985e+02
5.909017774723470211e+02 1.372422619047574699e+03 1.870890082143773725e+00 8.116982997860332034e+02
5.654632774722995237e+02 1.372422619047574699e+03 1.558939382143819330e+00 8.152243114415304035e+02
5.147767774723470211e+02 1.372922619047574699e+03 1.249582682143795864e+00 8.221631278293197056e+02
4.809017774723470211e+02 1.372422619047574699e+03 1.250711782143810069e+00 8.265913744855198502e+02
4.555882774722995237e+02 1.372922619047574699e+03 1.558481582143826927e+00 8.297709305143469010e+02
4.302132774722995237e+02 1.373422619047574699e+03 1.865305282143822296e+00 8.329193814232507975e+02
3.964017774723470211e+02 1.373422619047574699e+03 2.760965782143784963e+00 8.366255714921600202e+02
